Starting training from scratch.
Initializing distributed: GLOBAL_RANK: 1, MEMBER: 2/2
LOCAL_RANK: 1 - CUDA_VISIBLE_DEVICES: [0,1]
{'spatial_loss': tensor(304.8719, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.8140, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0076, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(509.6859, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(305.2962, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7612, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0062, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(510.0574, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(303.8600, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7541, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0109, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(508.6141, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(302.4163, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7963, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0156, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(507.2126, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(300.5481, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7692, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0217, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(505.3173, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(299.9438, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.8140, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0236, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(504.7578, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(297.8375, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7897, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0305, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(502.6273, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(297.8937, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7201, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0303, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(502.6138, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(296.1590, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7934, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0359, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(500.9523, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(293.7592, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7162, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0438, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(498.4754, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(291.4317, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7564, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0513, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(496.1881, device='cuda:1', grad_fn=<AddBackward0>)}
