Starting training from scratch.
Initializing distributed: GLOBAL_RANK: 1, MEMBER: 2/2
LOCAL_RANK: 1 - CUDA_VISIBLE_DEVICES: [0,1]
{'spatial_loss': tensor(308.4175, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7732, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(-0.0040, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(513.1907, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(308.6752, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.8672, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(-0.0048, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(513.5424, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(296.1530, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7141, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0360, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(500.8671, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(296.5250, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.7184, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0347, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(501.2434, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(288.9986, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.6981, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0592, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(493.6967, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(283.9841, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.5828, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0756, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(488.5669, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(280.1496, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.5533, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.0881, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(484.7029, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(275.2148, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.5323, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1041, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(479.7470, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(272.2489, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.5284, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1138, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(476.7773, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(270.0691, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.4735, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1209, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(474.5426, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(268.2569, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.2613, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1268, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(472.5182, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(265.7271, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(204.0171, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1350, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(469.7442, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(264.5764, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(203.9910, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1387, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(468.5674, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(262.8382, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(203.7898, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1444, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(466.6280, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(261.7229, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(203.5779, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1480, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(465.3008, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(259.2184, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(203.5388, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1562, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(462.7572, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(258.2920, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(203.2105, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1592, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(461.5025, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(258.5418, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(203.1690, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1584, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(461.7108, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(257.7461, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(203.1820, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1610, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(460.9281, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(255.3542, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(202.9410, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1688, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(458.2952, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(256.6487, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(202.7656, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1646, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(459.4142, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(254.5074, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(202.6837, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1715, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(457.1911, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(252.9320, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(202.2622, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1767, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(455.1942, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(252.2856, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(202.1108, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1788, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(454.3964, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(251.2223, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(201.9122, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1822, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(453.1345, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(250.4897, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(201.9752, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1846, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(452.4649, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(249.9487, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(201.5629, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1864, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(451.5117, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(248.1731, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(201.1651, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1921, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(449.3383, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(247.7658, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(201.0813, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1935, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(448.8471, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(248.0681, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(201.0474, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1925, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(449.1155, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(246.6245, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(200.7664, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1972, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(447.3908, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(246.2588, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(200.4812, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1984, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(446.7400, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(245.3810, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(200.2959, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.2012, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(445.6769, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(244.7143, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(200.2358, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.2034, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(444.9501, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(247.6724, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(200.6387, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.1938, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(448.3111, device='cuda:1', grad_fn=<AddBackward0>)}
{'spatial_loss': tensor(245.5945, device='cuda:1', grad_fn=<MulBackward0>), 'frequency_loss': tensor(200.2063, device='cuda:1', grad_fn=<MulBackward0>), 'cosine_similarity': tensor(0.2005, device='cuda:1', grad_fn=<MeanBackward0>), 'loss': tensor(445.8008, device='cuda:1', grad_fn=<AddBackward0>)}
